Running on hadoop, using /opt/hadoop-2.4.0/bin/hadoop and HADOOP_CONF_DIR=
MAHOUT-JOB: /opt/mahout/examples/target/mahout-examples-1.0-SNAPSHOT-job.jar
14/07/19 13:34:23 WARN driver.MahoutDriver: No cvb.props found on classpath, will use command-line arguments only
14/07/19 13:34:24 INFO common.AbstractJob: Command line arguments: {--convergenceDelta=[0.0], --dictionary=[/cw-seqdir-sparse-lda/dictionary.file-*], --doc_topic_output=[/runs/r18/doc-topics], --doc_topic_smoothing=[1.0E-4], --endPhase=[2147483647], --input=[/cw-out-matrix/matrix], --iteration_block_size=[10], --maxIter=[1], --max_doc_topic_iters=[10], --num_reduce_tasks=[60], --num_topics=[10], --num_train_threads=[4], --num_update_threads=[4], --output=[/runs/r18/topics], --random_seed=[42], --startPhase=[0], --tempDir=[/runs/r18/cas-temp/], --term_topic_smoothing=[1.0E-4], --test_set_fraction=[0.1]}
14/07/19 13:34:24 WARN util.NativeCodeLoader: Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
14/07/19 13:34:49 INFO cvb.CVB0Driver: Will run Collapsed Variational Bayes (0th-derivative approximation) learning for LDA on /cw-out-matrix/matrix (numTerms: 13914453), finding 10-topics, with document/topic prior 1.0E-4, topic/term prior 1.0E-4.  Maximum iterations to run will be 1, unless the change in perplexity is less than 0.0.  Topic model output (p(term|topic) for each topic) will be stored /runs/r18/topics.  Random initialization seed is 42, holding out 0.1 of the data for perplexity check

14/07/19 13:34:49 INFO cvb.CVB0Driver: Dictionary to be used located /cw-seqdir-sparse-lda/dictionary.file-*
p(topic|docId) will be stored /runs/r18/doc-topics

14/07/19 13:34:49 INFO cvb.CVB0Driver: Current iteration number: 0
14/07/19 13:34:49 INFO cvb.CVB0Driver: About to run iteration 1 of 1
14/07/19 13:34:49 INFO cvb.CVB0Driver: About to run: Iteration 1 of 1, input path: /runs/r18/cas-temp/topicModelState/model-0
14/07/19 13:34:49 INFO Configuration.deprecation: mapred.input.dir is deprecated. Instead, use mapreduce.input.fileinputformat.inputdir
14/07/19 13:34:49 INFO Configuration.deprecation: mapred.compress.map.output is deprecated. Instead, use mapreduce.map.output.compress
14/07/19 13:34:49 INFO Configuration.deprecation: mapred.output.dir is deprecated. Instead, use mapreduce.output.fileoutputformat.outputdir
14/07/19 13:34:50 INFO client.RMProxy: Connecting to ResourceManager at dco-node121.dco.ethz.ch/172.31.109.131:8032
14/07/19 13:34:57 INFO input.FileInputFormat: Total input paths to process : 1
14/07/19 13:35:02 INFO mapreduce.JobSubmitter: number of splits:1096
14/07/19 13:35:03 INFO mapreduce.JobSubmitter: Submitting tokens for job: job_1405769650846_0001
14/07/19 13:35:03 INFO impl.YarnClientImpl: Submitted application application_1405769650846_0001
14/07/19 13:35:03 INFO mapreduce.Job: The url to track the job: http://dco-node121.dco.ethz.ch:8088/proxy/application_1405769650846_0001/
14/07/19 13:35:03 INFO mapreduce.Job: Running job: job_1405769650846_0001
14/07/19 13:35:12 INFO mapreduce.Job: Job job_1405769650846_0001 running in uber mode : false
14/07/19 13:35:12 INFO mapreduce.Job:  map 0% reduce 0%
14/07/19 13:48:07 INFO mapreduce.Job:  map 42% reduce 2%
14/07/19 13:48:20 INFO mapreduce.Job:  map 43% reduce 2%
14/07/19 13:48:36 INFO mapreduce.Job:  map 44% reduce 2%
14/07/19 13:48:51 INFO mapreduce.Job:  map 45% reduce 2%
14/07/19 13:49:10 INFO mapreduce.Job:  map 46% reduce 2%
14/07/19 13:49:30 INFO mapreduce.Job:  map 46% reduce 3%
14/07/19 13:49:32 INFO mapreduce.Job:  map 47% reduce 3%
14/07/19 13:49:50 INFO mapreduce.Job:  map 48% reduce 3%
14/07/19 13:50:06 INFO mapreduce.Job:  map 49% reduce 3%
14/07/19 13:50:24 INFO mapreduce.Job:  map 50% reduce 3%
14/07/19 13:50:46 INFO mapreduce.Job:  map 51% reduce 3%
14/07/19 13:51:14 INFO mapreduce.Job:  map 52% reduce 3%
14/07/19 13:51:51 INFO mapreduce.Job:  map 52% reduce 4%
14/07/19 13:51:52 INFO mapreduce.Job:  map 53% reduce 4%
14/07/19 13:52:13 INFO mapreduce.Job:  map 54% reduce 4%
14/07/19 13:52:33 INFO mapreduce.Job:  map 55% reduce 4%
14/07/19 13:52:48 INFO mapreduce.Job:  map 56% reduce 4%
14/07/19 13:53:02 INFO mapreduce.Job:  map 57% reduce 4%
14/07/19 13:53:04 INFO mapreduce.Job:  map 57% reduce 5%
14/07/19 13:53:19 INFO mapreduce.Job:  map 58% reduce 5%
14/07/19 13:53:44 INFO mapreduce.Job:  map 59% reduce 5%
14/07/19 13:54:16 INFO mapreduce.Job:  map 60% reduce 5%
14/07/19 13:54:45 INFO mapreduce.Job:  map 61% reduce 5%
14/07/19 13:55:08 INFO mapreduce.Job:  map 62% reduce 5%
14/07/19 13:55:27 INFO mapreduce.Job:  map 63% reduce 5%
14/07/19 13:55:45 INFO mapreduce.Job:  map 63% reduce 6%
14/07/19 13:55:49 INFO mapreduce.Job:  map 64% reduce 6%
14/07/19 13:56:12 INFO mapreduce.Job:  map 65% reduce 6%
14/07/19 13:56:39 INFO mapreduce.Job:  map 66% reduce 6%
14/07/19 13:57:04 INFO mapreduce.Job:  map 67% reduce 6%
14/07/19 13:57:23 INFO mapreduce.Job:  map 68% reduce 6%
14/07/19 13:57:44 INFO mapreduce.Job:  map 69% reduce 6%
14/07/19 13:58:03 INFO mapreduce.Job:  map 70% reduce 6%
14/07/19 13:58:31 INFO mapreduce.Job:  map 71% reduce 6%
14/07/19 13:58:58 INFO mapreduce.Job:  map 72% reduce 6%
14/07/19 13:59:25 INFO mapreduce.Job:  map 73% reduce 6%
14/07/19 13:59:26 INFO mapreduce.Job:  map 73% reduce 7%
14/07/19 13:59:48 INFO mapreduce.Job:  map 74% reduce 7%
14/07/19 14:00:04 INFO mapreduce.Job:  map 75% reduce 7%
14/07/19 14:00:23 INFO mapreduce.Job:  map 76% reduce 7%
14/07/19 14:00:46 INFO mapreduce.Job:  map 77% reduce 7%
14/07/19 14:01:07 INFO mapreduce.Job:  map 78% reduce 7%
14/07/19 14:01:36 INFO mapreduce.Job:  map 79% reduce 7%
14/07/19 14:01:58 INFO mapreduce.Job:  map 80% reduce 7%
14/07/19 14:02:24 INFO mapreduce.Job:  map 81% reduce 7%
14/07/19 14:02:43 INFO mapreduce.Job:  map 82% reduce 8%
14/07/19 14:03:05 INFO mapreduce.Job:  map 83% reduce 8%
14/07/19 14:03:25 INFO mapreduce.Job:  map 84% reduce 8%
14/07/19 14:03:50 INFO mapreduce.Job:  map 85% reduce 8%
14/07/19 14:04:15 INFO mapreduce.Job:  map 86% reduce 8%
14/07/19 14:04:41 INFO mapreduce.Job:  map 87% reduce 8%
14/07/19 14:05:04 INFO mapreduce.Job:  map 88% reduce 8%
14/07/19 14:05:25 INFO mapreduce.Job:  map 89% reduce 8%
14/07/19 14:05:44 INFO mapreduce.Job:  map 90% reduce 8%
14/07/19 14:06:08 INFO mapreduce.Job:  map 91% reduce 8%
14/07/19 14:06:13 INFO mapreduce.Job:  map 91% reduce 9%
14/07/19 14:06:25 INFO mapreduce.Job:  map 92% reduce 9%
14/07/19 14:06:48 INFO mapreduce.Job:  map 93% reduce 9%
14/07/19 14:07:13 INFO mapreduce.Job:  map 94% reduce 9%
14/07/19 14:07:36 INFO mapreduce.Job:  map 95% reduce 9%
14/07/19 14:08:03 INFO mapreduce.Job:  map 96% reduce 9%
14/07/19 14:08:24 INFO mapreduce.Job:  map 97% reduce 9%
14/07/19 14:08:51 INFO mapreduce.Job:  map 98% reduce 9%
14/07/19 14:09:05 INFO mapreduce.Job:  map 98% reduce 10%
14/07/19 14:09:13 INFO mapreduce.Job:  map 98% reduce 11%
14/07/19 14:09:15 INFO mapreduce.Job:  map 98% reduce 12%
14/07/19 14:09:20 INFO mapreduce.Job:  map 99% reduce 12%
14/07/19 14:09:43 INFO mapreduce.Job:  map 99% reduce 13%
14/07/19 14:09:53 INFO mapreduce.Job:  map 99% reduce 14%
14/07/19 14:09:58 INFO mapreduce.Job:  map 99% reduce 15%
14/07/19 14:10:16 INFO mapreduce.Job:  map 100% reduce 15%
14/07/19 14:10:18 INFO mapreduce.Job:  map 100% reduce 16%
14/07/19 14:10:19 INFO mapreduce.Job:  map 100% reduce 17%
14/07/19 14:10:30 INFO mapreduce.Job:  map 100% reduce 18%
14/07/19 14:10:38 INFO mapreduce.Job:  map 100% reduce 19%
14/07/19 14:10:42 INFO mapreduce.Job:  map 100% reduce 20%
14/07/19 14:10:57 INFO mapreduce.Job:  map 100% reduce 21%
14/07/19 14:11:01 INFO mapreduce.Job:  map 100% reduce 22%
14/07/19 14:11:13 INFO mapreduce.Job:  map 100% reduce 48%
14/07/19 14:11:14 INFO mapreduce.Job:  map 100% reduce 58%
14/07/19 14:11:17 INFO mapreduce.Job:  map 100% reduce 62%
14/07/19 14:11:18 INFO mapreduce.Job:  map 100% reduce 83%
14/07/19 14:11:19 INFO mapreduce.Job:  map 100% reduce 87%
14/07/19 14:17:52 INFO mapreduce.Job:  map 100% reduce 88%
14/07/19 14:20:01 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000003_1, Status : FAILED
Error: org.apache.hadoop.mapreduce.task.reduce.Shuffle$ShuffleError: error in shuffle in fetcher#5
	at org.apache.hadoop.mapreduce.task.reduce.Shuffle.run(Shuffle.java:134)
	at org.apache.hadoop.mapred.ReduceTask.run(ReduceTask.java:376)
	at org.apache.hadoop.mapred.YarnChild$2.run(YarnChild.java:167)
	at java.security.AccessController.doPrivileged(Native Method)
	at javax.security.auth.Subject.doAs(Subject.java:422)
	at org.apache.hadoop.security.UserGroupInformation.doAs(UserGroupInformation.java:1548)
	at org.apache.hadoop.mapred.YarnChild.main(YarnChild.java:162)
Caused by: java.lang.OutOfMemoryError: Java heap space
	at org.apache.hadoop.io.BoundedByteArrayOutputStream.<init>(BoundedByteArrayOutputStream.java:56)
	at org.apache.hadoop.io.BoundedByteArrayOutputStream.<init>(BoundedByteArrayOutputStream.java:46)
	at org.apache.hadoop.mapreduce.task.reduce.InMemoryMapOutput.<init>(InMemoryMapOutput.java:63)
	at org.apache.hadoop.mapreduce.task.reduce.MergeManagerImpl.unconditionalReserve(MergeManagerImpl.java:297)
	at org.apache.hadoop.mapreduce.task.reduce.MergeManagerImpl.reserve(MergeManagerImpl.java:287)
	at org.apache.hadoop.mapreduce.task.reduce.Fetcher.copyMapOutput(Fetcher.java:411)
	at org.apache.hadoop.mapreduce.task.reduce.Fetcher.copyFromHost(Fetcher.java:341)
	at org.apache.hadoop.mapreduce.task.reduce.Fetcher.run(Fetcher.java:165)

14/07/19 14:22:54 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000005_1, Status : FAILED
Error: org.apache.hadoop.mapreduce.task.reduce.Shuffle$ShuffleError: error in shuffle in OnDiskMerger - Thread to merge on-disk map-outputs
	at org.apache.hadoop.mapreduce.task.reduce.Shuffle.run(Shuffle.java:134)
	at org.apache.hadoop.mapred.ReduceTask.run(ReduceTask.java:376)
	at org.apache.hadoop.mapred.YarnChild$2.run(YarnChild.java:167)
	at java.security.AccessController.doPrivileged(Native Method)
	at javax.security.auth.Subject.doAs(Subject.java:422)
	at org.apache.hadoop.security.UserGroupInformation.doAs(UserGroupInformation.java:1548)
	at org.apache.hadoop.mapred.YarnChild.main(YarnChild.java:162)
Caused by: java.lang.OutOfMemoryError: Java heap space
	at org.apache.hadoop.mapred.IFile$Reader.nextRawValue(IFile.java:441)
	at org.apache.hadoop.mapred.Merger$Segment.nextRawValue(Merger.java:335)
	at org.apache.hadoop.mapred.Merger$Segment.getValue(Merger.java:317)
	at org.apache.hadoop.mapred.Merger$MergeQueue.next(Merger.java:554)
	at org.apache.hadoop.mapred.Merger.writeFile(Merger.java:207)
	at org.apache.hadoop.mapreduce.task.reduce.MergeManagerImpl$OnDiskMerger.merge(MergeManagerImpl.java:557)
	at org.apache.hadoop.mapreduce.task.reduce.MergeThread.run(MergeThread.java:94)

14/07/19 14:25:42 INFO mapreduce.Job:  map 100% reduce 89%
14/07/19 14:35:17 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000005_2, Status : FAILED
Error: org.apache.hadoop.mapreduce.task.reduce.Shuffle$ShuffleError: error in shuffle in OnDiskMerger - Thread to merge on-disk map-outputs
	at org.apache.hadoop.mapreduce.task.reduce.Shuffle.run(Shuffle.java:134)
	at org.apache.hadoop.mapred.ReduceTask.run(ReduceTask.java:376)
	at org.apache.hadoop.mapred.YarnChild$2.run(YarnChild.java:167)
	at java.security.AccessController.doPrivileged(Native Method)
	at javax.security.auth.Subject.doAs(Subject.java:422)
	at org.apache.hadoop.security.UserGroupInformation.doAs(UserGroupInformation.java:1548)
	at org.apache.hadoop.mapred.YarnChild.main(YarnChild.java:162)
Caused by: java.lang.OutOfMemoryError: Java heap space
	at org.apache.hadoop.mapred.IFile$Reader.nextRawValue(IFile.java:441)
	at org.apache.hadoop.mapred.Merger$Segment.nextRawValue(Merger.java:335)
	at org.apache.hadoop.mapred.Merger$Segment.getValue(Merger.java:317)
	at org.apache.hadoop.mapred.Merger$MergeQueue.next(Merger.java:554)
	at org.apache.hadoop.mapred.Merger.writeFile(Merger.java:207)
	at org.apache.hadoop.mapreduce.task.reduce.MergeManagerImpl$OnDiskMerger.merge(MergeManagerImpl.java:557)
	at org.apache.hadoop.mapreduce.task.reduce.MergeThread.run(MergeThread.java:94)

14/07/19 14:49:41 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000006_0, Status : FAILED
AttemptID:attempt_1405769650846_0001_r_000006_0 Timed out after 600 secs
14/07/19 14:51:40 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000000_0, Status : FAILED
AttemptID:attempt_1405769650846_0001_r_000000_0 Timed out after 600 secs
14/07/19 14:52:10 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000004_0, Status : FAILED
AttemptID:attempt_1405769650846_0001_r_000004_0 Timed out after 600 secs
14/07/19 14:52:41 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000009_0, Status : FAILED
AttemptID:attempt_1405769650846_0001_r_000009_0 Timed out after 600 secs
14/07/19 14:54:41 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000008_0, Status : FAILED
AttemptID:attempt_1405769650846_0001_r_000008_0 Timed out after 600 secs
14/07/19 14:55:41 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000002_0, Status : FAILED
AttemptID:attempt_1405769650846_0001_r_000002_0 Timed out after 600 secs
14/07/19 14:55:41 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000003_0, Status : FAILED
AttemptID:attempt_1405769650846_0001_r_000003_0 Timed out after 600 secs
14/07/19 14:56:40 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000001_0, Status : FAILED
AttemptID:attempt_1405769650846_0001_r_000001_0 Timed out after 600 secs
14/07/19 15:01:14 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000009_2, Status : FAILED
Error: org.apache.hadoop.mapreduce.task.reduce.Shuffle$ShuffleError: error in shuffle in fetcher#5
	at org.apache.hadoop.mapreduce.task.reduce.Shuffle.run(Shuffle.java:134)
	at org.apache.hadoop.mapred.ReduceTask.run(ReduceTask.java:376)
	at org.apache.hadoop.mapred.YarnChild$2.run(YarnChild.java:167)
	at java.security.AccessController.doPrivileged(Native Method)
	at javax.security.auth.Subject.doAs(Subject.java:422)
	at org.apache.hadoop.security.UserGroupInformation.doAs(UserGroupInformation.java:1548)
	at org.apache.hadoop.mapred.YarnChild.main(YarnChild.java:162)
Caused by: java.lang.OutOfMemoryError: Java heap space
	at org.apache.hadoop.io.BoundedByteArrayOutputStream.<init>(BoundedByteArrayOutputStream.java:56)
	at org.apache.hadoop.io.BoundedByteArrayOutputStream.<init>(BoundedByteArrayOutputStream.java:46)
	at org.apache.hadoop.mapreduce.task.reduce.InMemoryMapOutput.<init>(InMemoryMapOutput.java:63)
	at org.apache.hadoop.mapreduce.task.reduce.MergeManagerImpl.unconditionalReserve(MergeManagerImpl.java:297)
	at org.apache.hadoop.mapreduce.task.reduce.MergeManagerImpl.reserve(MergeManagerImpl.java:287)
	at org.apache.hadoop.mapreduce.task.reduce.Fetcher.copyMapOutput(Fetcher.java:411)
	at org.apache.hadoop.mapreduce.task.reduce.Fetcher.copyFromHost(Fetcher.java:341)
	at org.apache.hadoop.mapreduce.task.reduce.Fetcher.run(Fetcher.java:165)

14/07/19 15:02:41 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000007_0, Status : FAILED
AttemptID:attempt_1405769650846_0001_r_000007_0 Timed out after 600 secs
14/07/19 15:03:11 INFO mapreduce.Job:  map 100% reduce 90%
14/07/19 15:03:11 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000005_0, Status : FAILED
AttemptID:attempt_1405769650846_0001_r_000005_0 Timed out after 600 secs
14/07/19 15:03:12 INFO mapreduce.Job:  map 100% reduce 89%
14/07/19 15:04:00 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000000_2, Status : FAILED
Error: org.apache.hadoop.mapreduce.task.reduce.Shuffle$ShuffleError: error in shuffle in OnDiskMerger - Thread to merge on-disk map-outputs
	at org.apache.hadoop.mapreduce.task.reduce.Shuffle.run(Shuffle.java:134)
	at org.apache.hadoop.mapred.ReduceTask.run(ReduceTask.java:376)
	at org.apache.hadoop.mapred.YarnChild$2.run(YarnChild.java:167)
	at java.security.AccessController.doPrivileged(Native Method)
	at javax.security.auth.Subject.doAs(Subject.java:422)
	at org.apache.hadoop.security.UserGroupInformation.doAs(UserGroupInformation.java:1548)
	at org.apache.hadoop.mapred.YarnChild.main(YarnChild.java:162)
Caused by: java.lang.OutOfMemoryError: Java heap space
	at org.apache.hadoop.mapred.IFile$Reader.nextRawValue(IFile.java:441)
	at org.apache.hadoop.mapred.Merger$Segment.nextRawValue(Merger.java:335)
	at org.apache.hadoop.mapred.Merger$Segment.getValue(Merger.java:317)
	at org.apache.hadoop.mapred.Merger$MergeQueue.next(Merger.java:554)
	at org.apache.hadoop.mapred.Merger.writeFile(Merger.java:207)
	at org.apache.hadoop.mapreduce.task.reduce.MergeManagerImpl$OnDiskMerger.merge(MergeManagerImpl.java:557)
	at org.apache.hadoop.mapreduce.task.reduce.MergeThread.run(MergeThread.java:94)

14/07/19 15:04:46 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000002_2, Status : FAILED
Error: org.apache.hadoop.mapreduce.task.reduce.Shuffle$ShuffleError: error in shuffle in fetcher#2
	at org.apache.hadoop.mapreduce.task.reduce.Shuffle.run(Shuffle.java:134)
	at org.apache.hadoop.mapred.ReduceTask.run(ReduceTask.java:376)
	at org.apache.hadoop.mapred.YarnChild$2.run(YarnChild.java:167)
	at java.security.AccessController.doPrivileged(Native Method)
	at javax.security.auth.Subject.doAs(Subject.java:422)
	at org.apache.hadoop.security.UserGroupInformation.doAs(UserGroupInformation.java:1548)
	at org.apache.hadoop.mapred.YarnChild.main(YarnChild.java:162)
Caused by: java.lang.OutOfMemoryError: Java heap space
	at org.apache.hadoop.io.BoundedByteArrayOutputStream.<init>(BoundedByteArrayOutputStream.java:56)
	at org.apache.hadoop.io.BoundedByteArrayOutputStream.<init>(BoundedByteArrayOutputStream.java:46)
	at org.apache.hadoop.mapreduce.task.reduce.InMemoryMapOutput.<init>(InMemoryMapOutput.java:63)
	at org.apache.hadoop.mapreduce.task.reduce.MergeManagerImpl.unconditionalReserve(MergeManagerImpl.java:297)
	at org.apache.hadoop.mapreduce.task.reduce.MergeManagerImpl.reserve(MergeManagerImpl.java:287)
	at org.apache.hadoop.mapreduce.task.reduce.Fetcher.copyMapOutput(Fetcher.java:411)
	at org.apache.hadoop.mapreduce.task.reduce.Fetcher.copyFromHost(Fetcher.java:341)
	at org.apache.hadoop.mapreduce.task.reduce.Fetcher.run(Fetcher.java:165)

14/07/19 15:20:11 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000007_1, Status : FAILED
AttemptID:attempt_1405769650846_0001_r_000007_1 Timed out after 600 secs
14/07/19 15:20:11 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000001_1, Status : FAILED
AttemptID:attempt_1405769650846_0001_r_000001_1 Timed out after 600 secs
14/07/19 15:20:12 INFO mapreduce.Job:  map 100% reduce 88%
14/07/19 15:20:41 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000002_1, Status : FAILED
AttemptID:attempt_1405769650846_0001_r_000002_1 Timed out after 600 secs
14/07/19 15:21:41 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000000_1, Status : FAILED
AttemptID:attempt_1405769650846_0001_r_000000_1 Timed out after 600 secs
14/07/19 15:22:11 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000004_1, Status : FAILED
AttemptID:attempt_1405769650846_0001_r_000004_1 Timed out after 600 secs
14/07/19 15:24:10 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000008_1, Status : FAILED
AttemptID:attempt_1405769650846_0001_r_000008_1 Timed out after 600 secs
14/07/19 15:24:40 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000006_1, Status : FAILED
AttemptID:attempt_1405769650846_0001_r_000006_1 Timed out after 600 secs
14/07/19 15:24:40 INFO mapreduce.Job: Task Id : attempt_1405769650846_0001_r_000009_1, Status : FAILED
